[2025-01-31T07:20:35.721+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_json manual__2025-01-31T07:20:11.397997+00:00 [queued]>
[2025-01-31T07:20:35.726+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_json manual__2025-01-31T07:20:11.397997+00:00 [queued]>
[2025-01-31T07:20:35.727+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T07:20:35.736+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_json> on 2025-01-31 07:20:11.397997+00:00
[2025-01-31T07:20:35.740+0000] {standard_task_runner.py:57} INFO - Started process 666 to run task
[2025-01-31T07:20:35.743+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'naver_flight_pipeline', 'process_json', 'manual__2025-01-31T07:20:11.397997+00:00', '--job-id', '26', '--raw', '--subdir', 'DAGS_FOLDER/naver_flight_dag.py', '--cfg-path', '/tmp/tmprqq3w1el']
[2025-01-31T07:20:35.744+0000] {standard_task_runner.py:85} INFO - Job 26: Subtask process_json
[2025-01-31T07:20:35.775+0000] {task_command.py:410} INFO - Running <TaskInstance: naver_flight_pipeline.process_json manual__2025-01-31T07:20:11.397997+00:00 [running]> on host 3f33197bb456
[2025-01-31T07:20:35.828+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='naver_flight_pipeline' AIRFLOW_CTX_TASK_ID='process_json' AIRFLOW_CTX_EXECUTION_DATE='2025-01-31T07:20:11.397997+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-31T07:20:11.397997+00:00'
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.904+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.905+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.906+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.907+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.908+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.909+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.910+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.911+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.912+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.913+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.914+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:20:35.915+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
