[2025-01-31T08:51:17.316+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T08:51:17.340+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_and_upload> on 2025-01-31 08:49:46.476555+00:00
[2025-01-31T08:51:17.352+0000] {standard_task_runner.py:57} INFO - Started process 1750 to run task
[2025-01-31T08:51:17.357+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'naver_flight_pipeline', 'process_and_upload', 'manual__2025-01-31T08:49:46.476555+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/naver_flight_dag.py', '--cfg-path', '/tmp/tmpnij8d0au']
[2025-01-31T08:51:17.362+0000] {standard_task_runner.py:85} INFO - Job 36: Subtask process_and_upload
[2025-01-31T08:51:17.431+0000] {task_command.py:410} INFO - Running <TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [running]> on host 3f33197bb456
[2025-01-31T08:51:17.527+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='naver_flight_pipeline' AIRFLOW_CTX_TASK_ID='process_and_upload' AIRFLOW_CTX_EXECUTION_DATE='2025-01-31T08:49:46.476555+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-31T08:49:46.476555+00:00'
[2025-01-31T08:51:17.537+0000] {base.py:73} INFO - Using connection ID 'google_cloud_default' for task execution.
[2025-01-31T08:51:21.741+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.743+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.744+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.745+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
